"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus tjakalpa",22.99,10.17,5.14,6.05,9.49,2.14,2.83,6.75,6.67,135,7.87,7.26,9.46,11.17,14.54,20.11,11.83,5.15
"Ctenophorus tjakalpa",24.08,10.92,5.75,6.26,9.27,2.54,2.73,6.63,5.87,126,7.88,7.17,8.41,12.25,14.54,21.19,9.03,5
"Ctenophorus tuniluki",18.55,10.75,4.01,5.91,8.53,1.75,2.42,7.05,4.73,82,5.73,5.56,7.29,8.67,11.82,17.12,7.85,5.1
"Ctenophorus vadnappa",38.73,22.36,7.89,11.23,19.73,3.59,4.66,12.31,8.75,162,11.4,11.79,14.6,18.89,21.72,30.23,14.63,10.98
"Ctenophorus vadnappa",38.55,21.46,8.56,10.39,17.98,3.25,4.72,12.58,8.84,156,11.43,10.68,13.21,19.74,21.57,28.75,11.8,10.78
"Ctenophorus vadnappa",40.39,22.36,8.41,10.48,19.75,4.25,4.38,13.15,7.25,171,13.2,12.15,13.44,22.09,24.95,32.65,14.88,12
"Ctenophorus vadnappa",33.97,19.65,7.21,9.99,18.76,3.29,4.85,11.02,7.25,154,13.26,11.38,14.38,19.44,22.34,30.13,14.85,11.25
"Ctenophorus yinnietharra",50.74,22.92,8.39,10.42,19.31,3.79,4.32,10.72,12.09,185,15.66,12.8,13.7,24.9,26.16,32.14,18.54,11.61
"Ctenophorus yinnietharra",41.26,25.93,8.02,9.68,18.69,3.38,3.97,12.34,11.57,153,12.33,12.18,12.98,21.26,23.63,29.35,19.03,10.51
"Ctenophorus yinnietharra",39.54,26.43,9.26,8.86,18.25,3.86,3.98,9.83,11.23,144,12.32,10.96,12.2,19.1,22.11,27.94,16.43,9.33
"Ctenophorus yinnietharra",41.2,25.59,7.71,7.71,16.18,3.05,3.22,8.74,10.53,144,12.07,11.27,13.36,20.08,21.41,26.98,16.01,10.31
"Diporiphora adductus",34.36,9.17,5.45,7.03,9.35,3.37,3.76,7.8,4.75,166,10.01,9.1,10.25,11.96,13.7,19.73,12.08,5.27
"Diporiphora adductus",32.24,32.24,9.33,7.66,9.73,3.05,3.5,7.62,6.4,173,8.71,9.77,9.45,12.15,13.92,17.88,11.17,6.84
"Diporiphora adductus",30.9,7.21,4.66,6.1,8.99,3.18,2.82,7.43,4.65,174,9.62,9.71,9.92,10.98,12.97,19.11,13.05,6.66
"Diporiphora adductus",27.99,6.89,4.2,6.31,8.71,2.67,2.64,7.47,4.78,140,8.37,7.64,9.05,10.31,12.04,18.19,10.37,6.05
"Diporiphora albilabris",27.43,13.53,5.76,7.66,11.84,2.83,3.02,8.14,6.32,92,8.45,8.41,8.1,12.16,13.25,17.98,11.49,8
"Diporiphora albilabris",21.68,11.1,5.27,8.04,13.07,3.63,3.34,9.73,6.27,126,9.44,8.8,10.1,12.02,14.12,18.27,13.57,7.97
"Diporiphora albilabris",22.23,13.27,4.09,7.81,11.46,2.98,3.14,9.26,5.02,98,8.12,8.15,8.89,8.73,12.11,15.37,11.1,7.75
"Diporiphora albilabris",23.61,10.51,4.69,7.52,12.29,2.99,3.4,9.73,6.7,105,8.55,8.21,9.92,12.17,12.87,17.59,10.84,8.75
"Diporiphora amphiboluroides",44.87,25.48,8.98,11.05,20.66,5.47,5.04,13.67,10.15,158,13.68,13.91,14.05,16.18,18.76,22.63,18.73,13.5
"Diporiphora amphiboluroides",49.9,23.8,9.84,11.38,19.08,5.93,5.4,14.68,9.93,166,13.81,14.41,14.02,19,19.7,21.53,16.67,13.42
"Diporiphora amphiboluroides",47.2,20.95,8.55,12.19,17.97,6.69,4.95,14.68,9.74,171,13.69,15.25,13.38,17.8,20.2,23.35,19.49,12.12
"Diporiphora amphiboluroides",45.17,16.4,7.27,9.4,15.06,4.43,4.27,12.64,8.13,142,13.26,12.2,12.26,15.99,16.78,19.83,13.22,11.99
"Diporiphora australis",40.71,18.63,7,10.66,14.92,4.42,3.69,11.89,7.19,170,10.51,10.49,11.69,16.38,17.44,20.42,15.11,9.58
"Diporiphora australis",34.74,14.47,7.76,11.7,16.02,4.74,4.29,12.74,8.29,201,11.29,10.83,11.92,15.98,16.5,22.11,15.09,9.84
"Diporiphora australis",31.49,9.76,6.17,9.71,14.08,4.14,4.37,12.21,7.26,185,11.24,10.59,11.78,15.43,17.44,21.79,12.39,8.05
"Diporiphora australis",31.92,12.46,6.49,8.65,13.24,3.68,4.14,11,6.43,171,10.13,10.13,12.22,15.46,15.52,23.74,12.79,8.4
"Diporiphora bennettii",21.35,14.3,4.43,6.62,11.49,2.91,2.75,8.33,4.62,70,8.14,7.92,7.16,9.82,11.3,14.84,7.54,7.02
"Diporiphora bennettii",23.33,11.89,5.86,7.31,11.47,3.69,3.12,8.98,5.5,75,7.95,7.76,7.7,10.34,11.17,14.49,8.53,7.59
"Diporiphora bennettii",21.13,12.51,4.3,5.95,10.81,2.5,3.02,8.02,4.23,79,7.73,7.52,7.98,10.08,10.81,14.74,10.03,7.3
"Diporiphora bennettii",25.54,14.77,5.38,6.29,12.14,2.55,3.06,8.67,4.73,68,7.46,8.87,8.52,10.63,11.14,13.43,11.05,8.41
"Diporiphora bilineata",25.05,9.96,4.73,6.57,9.94,2.89,2.62,8.72,5.16,112,8.13,8,8.34,9.69,11.07,15.09,9.34,6.76
"Diporiphora bilineata",25.68,8.75,4.94,6.28,10.6,2.55,3.21,8.83,5.37,133,7.61,8.03,7.79,11.97,12.03,17.22,10.01,8.52
"Diporiphora bilineata",29.08,11.88,5.7,6.65,12.45,3.32,4.2,8.83,6.98,161,9.61,9.06,8.89,12.63,14.68,20.49,12.22,8.05
"Diporiphora bilineata",25.56,8.38,4.43,6.66,10.47,2.23,2.96,8.03,4.85,121,8.47,8,8.82,10.72,11.81,17,11.22,7.79
"Diporiphora carpentariensis",29.58,12.18,5.56,8.32,12.34,2.83,3.76,9.52,6,174,9.89,9.63,10.63,14.93,16.02,21.4,12.02,7.86
"Diporiphora carpentariensis",31.32,13.97,6.27,7.7,11.94,2.97,3.69,8.5,5.99,171,9.68,9,11.74,14.59,15.05,21.29,12.35,8.88
"Diporiphora carpentariensis",26.39,11.5,5.17,6.77,11.25,3.31,3.46,8.08,4.43,145,8.73,8.25,8.48,12.66,13.03,18.49,10.56,6.7
"Diporiphora carpentariensis",27.9,14.89,5.39,8.03,11.89,2.95,3.27,9.97,5.93,141,8.61,8.5,8.63,11.77,13.49,18.85,9.25,8.24
"Diporiphora convergens",15.87,8.2,4.05,3.62,7.81,2.04,2.21,4.96,3.54,71,5.72,5.35,5.23,8.31,9.28,14.7,6.42,4.7
"Diporiphora gracilis",24.76,8.87,4.99,4.81,9.53,2.61,3.26,6.82,3.58,141,7.66,7.39,10.46,11.15,12.27,18.36,12.32,6.23
"Diporiphora gracilis",29.91,11.4,6.77,7.68,12.22,3.23,3.62,9.59,5.74,182,9.02,9.32,9.91,12.45,14.63,20.93,12.45,9.15
"Diporiphora gracilis",21.03,6.36,3.61,4.54,7.66,2.51,2.49,5.6,3.32,120,7.18,5.85,7.57,8.43,9.8,13.15,8.34,5.17
"Diporiphora granulifera",28.69,13.17,5.33,7.86,11.26,2.4,3.63,8.25,4.72,158,8.95,8.44,10.14,12.47,13.79,20.61,11.83,8.14
"Diporiphora granulifera",34.34,14.42,6.15,8.38,12.9,3.2,3.96,9.71,6.73,200,9.08,10.19,11.08,14.91,15.48,21.54,13.74,9.87
"Diporiphora granulifera",30.86,10.9,4.71,7.66,11.62,3.88,3.28,9.52,5.29,160,9.76,8.41,9.88,12.51,13.39,20.86,10.23,7.21
"Diporiphora granulifera",30.19,11.52,4.86,7.54,12.16,3.15,3.58,9.8,5.94,139,9.17,8.2,11.34,12.54,13.38,20.32,10.42,7.38
"Diporiphora granulifera",24.62,8.79,4,5.31,10.83,2.5,3.09,8.86,5,124,8.27,7.43,9.17,10.65,11.59,18.26,9.65,6.99
"Diporiphora jugularis",36.08,10.2,6.42,10.15,13.62,4.08,4.44,11.85,7.08,176,10.68,10.41,10.89,16.09,17.5,25.52,13.08,8.99
"Diporiphora jugularis",33.29,14,6.13,8.16,13.27,3.97,4.03,9.72,5.13,166,11.05,10.26,11.24,15.6,15.26,22.47,12.98,7.94
"Diporiphora jugularis",34.45,11.32,6.97,9.05,12.23,3.39,4.04,10.87,5.74,170,11.23,10.49,10.98,14.91,16.71,24.06,11.83,8.58
"Diporiphora jugularis",34.51,13.81,5.81,9.44,14.09,3.63,4.04,10.47,6.45,160,11.25,11.03,12,16.36,17.38,22.39,13.34,9.41
"Diporiphora lalliae",33.13,14.56,6.23,8.11,12.49,3.23,3.61,10.21,6.95,199,9.34,9.34,10.51,15.15,14.78,21.22,12.49,9.89
"Diporiphora lalliae",31.25,13.08,6.5,9.44,14.3,3.23,4,10.39,6.69,194,9.87,9.7,11.66,14.57,15.97,23.1,18.35,9.77
"Diporiphora lalliae",34.62,11.48,6.15,8.1,13.04,3.72,3.98,10.31,6.59,188,9.95,10.39,11.52,15.29,16.17,22.12,12.59,9.68
"Diporiphora lalliae",39.01,15.9,5.54,8.49,12.57,3.45,3.79,9.9,6.94,171,8.91,9.77,11.4,13.56,15.39,19.9,12.96,8.82
"Diporiphora linga",21.56,10.54,5.14,6.45,10.16,2.85,3.08,7.34,5.64,113,7.97,7.7,8.43,11.72,12.93,16.88,11.06,6.32
"Diporiphora linga",21.25,9.18,5.24,6.16,9.53,2.29,2.89,6.95,5.78,93,6.48,6.72,6.78,9.19,10.78,15.09,7.34,5.42
"Diporiphora linga",20.81,9.24,4.42,6.25,9.68,2.7,2.69,6.82,5.07,104,7.57,7.08,8.24,10,11.29,17.02,9.23,6.31
"Diporiphora magna",34.55,15.15,6.51,9.67,14.53,3.48,3.81,10.2,7.46,161,10.64,10.73,14.25,15.22,16.65,23.53,16.73,10.83
"Diporiphora magna",32.39,12.88,6.41,7.82,12.91,4.16,3.74,9.42,6.73,184,9.86,9.98,12.37,14.95,16.24,21.52,12.65,8.8
"Diporiphora magna",32.32,14.44,5.54,7.68,12.18,3.74,4.23,9.28,6.07,154,9.43,9.68,10.45,12.95,13.18,18.54,13.57,7.46
"Diporiphora magna",30.57,13.8,5.53,8.11,13.15,4.33,3.74,10.25,6.64,167,10.03,8.96,10.59,13.27,15.09,20.14,12.41,7.25
"Diporiphora margaretae",32.79,14.37,5.62,8.36,13.16,3.61,3.75,10.87,6.94,156,9.79,9.32,10.92,13.39,15.16,21.29,10.63,9.18
"Diporiphora margaretae",29.46,16.46,6.12,8.33,13.33,2.96,3.73,9.94,6.43,153,9.36,9.03,11.01,13.79,14.52,21.32,10.63,8.33
"Diporiphora margaretae",32.46,16.16,7.01,7.65,11.52,2.94,3.69,9.49,5.48,130,8.64,8.55,8.86,11.33,12.32,17.89,8.62,8.31
"Diporiphora margaretae",28.52,12.04,6.06,6.61,11.32,2.88,3.69,9.92,6.12,114,8.29,8.7,8.94,12.75,13.73,20.17,11.2,7.24
"Diporiphora nobbi",38.17,19.36,9.07,10.89,15.98,5.12,4.93,12.17,7.6,196,13.62,12.08,12.59,17.44,17.57,25.06,15.1,9.23
"Diporiphora nobbi",38.42,17.21,8.43,10.61,17.47,4.6,5.4,12.15,8.24,198,11.59,12.81,13.98,19.16,20.13,28.64,15.17,11.11
"Diporiphora nobbi",47.27,27.06,9.34,13.13,19.37,5.6,5.75,13.51,9.82,215,12.81,14.45,18.18,24.05,24.32,36.95,15.36,12.11
"Diporiphora nobbi",47.04,23.46,9.39,11.1,16.56,3.61,4.58,12.52,6.31,176,11.09,12.19,12.59,19.06,18.35,25.15,13.3,10.47
"Diporiphora nobbi",45.12,22.86,9.45,11.24,17.63,4.26,5.31,12.93,7.09,173,10.89,11.72,14.31,18.17,18.95,25.65,11.41,11.22
"Diporiphora pallida",23.72,10.04,4.92,6.46,10.56,2.14,3.54,8.34,4.34,92,6.9,7.22,7.84,9.59,10.14,14.53,6.85,6.41
"Diporiphora paraconvergens",29.67,10.44,5.53,6.9,9.8,2.83,2.97,8.08,6.11,168,8.88,8.12,9.32,11.53,13.23,18.33,9.88,7.38
"Diporiphora paraconvergens",28.64,8.97,5.2,6.24,8.86,2.04,2.65,7.17,5.78,161,8.31,7.83,8.55,10.65,11.96,16.76,9.83,8.03
"Diporiphora paraconvergens",27.08,8.26,4.95,6.65,9.24,2.09,3,7.6,5.36,165,7.78,7.36,8.42,10.27,11.87,16.9,11.67,6.91
"Diporiphora paraconvergens",28.43,9.28,5.01,6.75,9.3,2.16,2.74,8.56,5.69,150,7.61,7.1,8.43,11.41,11.71,17.79,11.27,7.74
"Diporiphora perplexa",34.79,10.28,6.45,8.86,15.13,4.37,4.32,10.6,7.28,185,10.27,11.31,10.81,16.88,17.56,25.83,14.08,10.81
"Diporiphora perplexa",29.71,11.38,5.88,8.24,12.95,3.04,4,10.01,7.25,160,10.73,11.3,10.27,15.56,16.29,23.19,12.1,10.55
"Diporiphora perplexa",32.43,11.04,6.02,8.9,12.36,3.36,3.76,9.48,7.53,148,10.84,9.49,8.61,15.84,15.53,21.83,11.24,10.88
"Diporiphora perplexa",29.2,11.01,4.9,7.44,12.46,3.68,3.75,8.86,5.86,144,9.85,9.2,8.1,12.59,14.79,19.77,11.53,9.21
"Diporiphora phaeospinosa",34.19,17.17,7.68,10.23,16.52,3.92,4.65,11.61,8.17,191,9.99,10.55,11.85,17.93,18.14,25.87,14.02,10.99
"Diporiphora phaeospinosa",30.04,16.13,7.8,9.32,14.33,3.91,4.6,10.27,6.23,163,10,9.78,11.75,16.84,17.06,25.04,12.95,8.98
"Diporiphora pindan",29.29,8.34,5.25,6.78,10.3,2.62,3.39,7.73,5.99,165,9.93,8.78,10.03,12.47,13.99,19.52,16.74,8.22
"Diporiphora pindan",29.63,11.14,5.72,4.75,9.45,2.39,3.41,7.31,6.73,140,8.91,8.07,9.28,10.42,12.85,18.21,12.83,6.93
"Diporiphora pindan",29.13,10.56,5.7,4.99,9.35,2.29,3.19,7.03,4.38,136,8.84,8.05,10.23,10.96,13.74,17.66,14.04,7.61
"Diporiphora pindan",30.44,10.89,4.73,5.55,9.58,2.06,3.26,7.12,4.69,142,8.89,9.34,8.06,11.14,12.58,18.06,10.74,7.26
"Diporiphora reginae",27.56,14.26,5.62,7.09,11.18,2.58,3.33,8.55,6.04,151,8.45,8.01,9.36,11.28,14.45,19.34,12.99,7.5
"Diporiphora reginae",32.24,13.82,5.83,8.05,10.76,2.45,2.91,7.99,5.86,124,7.6,7.4,8.88,11.08,12.69,18.6,12.34,7.58
"Diporiphora reginae",25.92,10.32,5.49,7.16,10.1,2.63,2.77,7.68,6.77,142,7.47,7.04,9.33,10.45,14.06,20.74,11.68,7.48
"Diporiphora reginae",33,11.77,5.61,7.5,10.76,2.62,2.93,8.66,5.56,157,8.3,8.25,9.47,12.75,14.69,19.7,10.88,8.51
"Diporiphora sobria",29.83,13.84,6.08,9.3,14.09,3.78,3.94,10.21,8.16,161,10.05,9.73,10.23,14.99,17.19,24.13,14.79,9.49
"Diporiphora sobria",29,14.35,6.52,7.44,11.93,3.13,3.77,8.52,7.38,163,9.93,9.32,10.53,14.15,16.29,23.22,11.82,8.15
"Diporiphora sobria",29.39,13.76,5.91,6.99,12.42,2.94,3.99,8.95,7.2,145,11.16,10.29,9.48,15.45,16.24,22.12,12.59,8.9
"Diporiphora sobria",24.97,9.9,5.48,8.59,13.15,3.18,3.68,9.68,7.56,140,9.49,10.07,10.11,13.73,15.28,21.12,9,8.66
"Diporiphora superba",45.73,12.09,7.12,8.9,10.43,2.43,4.26,10.93,6.04,336,14.93,12.4,14.87,20.82,20.92,32.12,15.89,11.47
"Diporiphora superba",47.42,12.13,6.38,8.13,10.84,4.08,3.43,9.25,4.65,309,13.41,12.65,14.53,19.8,19.67,30.25,17.8,9.76
"Diporiphora superba",43.69,9.49,7.4,8.99,11.03,3.49,3.96,9.94,5.76,312,11.91,10.42,13.82,18.66,19.4,30.03,17.76,9.52
"Diporiphora superba",51.16,10.4,7.11,8.69,11.91,4.57,3.98,11.18,5.98,341,13.76,12.88,15.1,20.01,20.68,32.71,20.25,9.99
"Diporiphora valens",32.23,12.2,6.58,7.39,11.26,2.81,3.54,8.61,8.33,157,8.75,9.31,9.83,12.27,14.24,19.38,10.94,7.95
"Diporiphora valens",30.22,12.96,6.27,7.75,11.9,3.01,3.6,8.57,9.91,173,8.99,9.74,11.33,12.94,14.79,21.72,14.14,8
"Diporiphora valens",34.55,13.98,7.2,8.26,12.14,3.23,3.31,9.3,8.07,180,9.02,10.19,10.61,13.1,14.97,21.56,12.82,8.27
"Diporiphora valens",29.89,12.35,6.19,7.89,11.27,3.13,3.05,9.03,7.81,175,10.55,9.55,11.47,13.88,15.98,20.93,12.45,7.47
"Diporiphora vescus",29.64,7.74,4.46,6.39,9.4,2.11,3.18,7.38,5.4,168,8.71,8.12,10.48,11.29,12.89,19.98,11.87,7.35
"Diporiphora vescus",26.4,8.53,6.54,5.05,9.44,2.89,3,7.19,5.49,150,8.96,8.34,9.82,12.05,12.72,19.69,11.33,6.42
"Diporiphora vescus",26.86,7.26,4.59,6.57,9.25,2.23,2.39,8.33,5.01,135,8.5,8.14,9.94,11.51,12.07,19.39,11.41,7
"Diporiphora vescus",27.07,8.1,4.93,6.98,9.85,2.29,3.46,9.26,5.49,154,8.9,10.7,9.83,11.44,12.76,17.52,10.8,7.47
"Diporiphora winneckei",27.69,9.13,5.04,6.56,8.19,2.39,2.57,6.81,4.12,116,7.73,6.81,7.56,10.17,11.88,16.58,8.92,6.54
"Diporiphora winneckei",26.54,8.04,3.57,4.98,9.16,1.88,3.48,5.99,3.52,115,7.33,7.56,8.86,10.54,11.03,15.79,8.69,6.05
"Diporiphora winneckei",28.64,8.39,4.64,7.06,9.97,2.48,3.13,7.75,4.76,125,6.98,8.46,8.75,9.81,10.42,17.28,9.66,7.12
"Diporiphora winneckei",24.04,6.97,4.62,6.85,8.1,2.16,2.61,8.36,5.19,144,8.06,7.12,9.93,11.23,11.27,17.81,10.29,6.81
"Diporiphora winneckei",26.77,6.69,4.7,6.52,9.32,2.45,2.48,7.13,5.02,129,6.95,6.97,8.71,10.37,10.33,15.68,10.57,6.85
"Gowidon longirostris",50.82,17.32,8.97,13.65,19.11,6.17,5.25,15.13,10.41,303,15.07,13.66,16.35,24.89,28.86,40.83,18.2,18.24
"Gowidon longirostris",52.11,21.2,9.77,14.12,19.56,6.79,5.36,14.99,10.09,331,15.56,15.16,17,27.42,28.8,40.18,19.49,16.82
"Gowidon longirostris",50.21,19.48,8.67,13.39,18.7,6.92,5.09,14.81,11.98,319,15.21,15.83,17.11,27.46,30.31,42.88,20.58,15.92
"Gowidon longirostris",49.85,17.71,8.12,14.37,18.42,6.43,5.59,13.95,10.74,276,14.94,14.37,16.59,26.61,26.79,39.56,20.86,16.25
"Hypsilurus godeffroyi",121.95,26.69,12.22,36.3,39.3,16.26,9.77,41.43,16.16,526,38.43,38.66,40.94,51.86,56.74,81.47,49.6,21.24
"Hypsilurus godeffroyi",128.1,35.9,14.43,42.29,39.5,17.37,9.13,48.61,17.92,760,43.7,41.07,44.21,64.33,62.98,75.79,50.25,26.59
"Hypsilurus longii",54.42,21.11,8.15,14.81,15.58,8.15,4.63,16.51,7.07,366,18.96,18.05,21.68,28.51,27.7,45.52,19.13,10.11
"Hypsilurus magnus",105.52,49.13,18.64,42.18,54.72,14.93,12.55,43.7,26.44,606,36.25,36.53,37.73,48.92,53.39,75.23,43.56,25.46
"Hypsilurus magnus",122.66,47.66,14.63,38.02,44.46,14.24,11.72,38.76,23.99,669,40.08,35.73,40.12,53.04,53.02,73.39,44.84,23.16
"Hypsilurus magnus",71.16,33.14,12.05,18.82,21.5,10.02,8.66,21.87,13.99,395,21.88,20.17,25.22,32.81,29.99,47.39,23.8,11.74
"Hypsilurus modestus",53.99,18.54,6.04,12.73,14.57,8.02,4.14,16.33,7.04,260,21.75,19.77,22.45,28.34,27.43,38.9,17.09,8.47
"Hypsilurus modestus",50.81,11.45,5.68,11.08,13.69,7.25,4.06,14.34,6.31,234,21.08,18.03,20.13,25.6,25.11,36.76,20.63,7.55
"Hypsilurus modestus",56.51,15.85,8.32,12.87,15.65,7.52,5.29,15.97,8.13,271,21.71,19.84,20.71,28.28,27.06,37.49,22.33,8.15
"Hypsilurus nigrigularis",107.87,35.61,17.05,33.74,45.54,14.18,10.41,40.61,19.85,598,34.3,32.44,36.88,49.55,52.96,74.86,47.14,21.46
"Hypsilurus nigrigularis",104.73,28.2,13.59,32.08,33.16,15.62,9.9,30.12,17.6,508,30.73,31.15,31.66,49.08,45.65,65.94,35.51,20.22
"Hypsilurus nigrigularis",97.28,34.58,12.46,27.81,27.41,12.55,7.41,27.16,18.21,492,28.28,30.25,29.44,44.48,41.55,59.23,34.57,17.74
"Hypsilurus nigrigularis",94.58,27.6,13,27.76,28.06,12.45,9.02,26.32,17.89,540,29.64,29.01,33.18,42.62,41.93,63.79,35.26,16.16
"Hypsilurus papuensis",84.35,26.34,7.61,29.75,35.86,12.79,9.57,34.39,12.68,552,27.42,29.71,31.84,38.31,41.33,55.76,33.15,15.24
"Hypsilurus schultzewestrumi",54.99,23.43,9.94,20.03,22.09,9.73,7.98,20.31,9.24,372,21.71,22.39,23.8,32.24,30.11,44.33,21.66,12.6
"Hypsilurus schultzewestrumi",65.66,25.2,7.73,18.87,19.73,9.16,8.02,18.48,11.28,412,20.09,20.82,23.71,30.77,30.21,46.07,24.63,10.2
"Hypsilurus schultzewestrumi",58.71,21.27,7.72,17.96,18.86,9.55,7.24,19.48,9.65,381,20.06,19.37,22.36,29.07,28.46,43.27,25,10.58
"Intellagama lesueurii",105.52,56.69,20.21,35.18,57.7,12.99,10.77,39.88,35.87,511,34.7,35.13,41.19,57.82,58.43,77.29,35.96,29.74
"Intellagama lesueurii",102.38,49.42,16.8,31.98,53.46,14.26,10.41,37.92,31.04,441,34.49,36.12,36.26,58.4,54.95,71.32,50.56,26.56
"Lophognathus gilberti",43.57,17.52,7.31,11.34,17.21,6,5.39,13.28,10.62,274,15.2,13.3,16.36,23.96,25.9,30.33,17.26,12.59
"Lophognathus gilberti",43.83,18.52,8.13,14.18,20.58,4.66,5.31,16.96,11.42,257,14.68,13.96,16.3,24.55,25.75,37.26,17.37,14.86
"Lophognathus gilberti",37.78,16.14,7.05,9.62,14.42,5.28,5.03,11.19,7.58,225,11.7,11.82,13.26,18.53,21.47,30.52,14.3,8.83
"Lophognathus gilberti",33.71,15.19,6.26,10.35,15.4,5.4,4.54,11.57,8.16,224,11.61,11.8,12.96,17.71,21.95,33.34,16.03,9.26
"Lophognathus horneri",52.92,21.74,9.43,16.99,21,6.52,5.4,17.67,12.24,275,15.62,16.22,18.9,29.59,29.84,41.53,21.29,16.29
"Lophognathus horneri",53.11,24.17,9.71,16.46,23.04,6.24,4.97,15.46,15.72,299,15.9,17.86,17.24,28.08,29.45,42.75,27.03,15.25
"Lophognathus horneri",55.17,21.76,8.13,16.86,20.3,6.79,5.71,16.45,14.39,326,17.21,15.75,18.94,29.3,34.2,43.58,23.94,16.06
"Lophognathus horneri",51.67,23.59,11.17,13.72,21.49,5.7,5.87,15.23,15.59,295,15.9,15.6,18.99,27.56,29.75,40.71,20.43,14.22
"Lophosaurus boydii",78.37,29.35,14.99,26.69,30.29,15.19,11.9,30.25,13.56,302,28.35,30.05,30.85,50.8,48.82,55.43,34.11,16.95
"Lophosaurus boydii",75.19,23.58,10.73,28.52,32.15,15.31,10.33,34.38,12.44,333,28.45,30.21,31.31,47.75,50.65,62.07,26.05,20.01
"Lophosaurus boydii",81.94,34.25,14.27,29.87,29.21,15.82,11.04,37.25,13.6,317,30.76,29.43,31.07,50.11,50.06,59.54,29.88,14.81
"Lophosaurus dilophus",84.08,28.2,6.97,35.35,36.65,15.68,13.56,40.88,15.38,327,40.04,35.28,35.75,57.07,65.01,68.29,47.63,20.37
"Lophosaurus dilophus",83.39,23.57,12.11,32.19,34.63,14.84,13.66,37.38,13.84,299,31.46,33,29.62,54.43,59.26,56.75,37.95,18.89
"Lophosaurus dilophus",78.12,28.55,7.54,28.27,32.29,13.25,11.83,32.3,12.29,260,28.24,28.99,28.85,49.71,54.4,51.23,32.77,17.95
"Lophosaurus dilophus",100.44,26.98,11.93,42.23,35.7,18.93,11.57,50.3,17.95,360,38.13,38.32,36.2,68.7,67.52,70.73,58.78,25.45
"Lophosaurus dilophus",89.22,22.89,15.68,27.91,28.85,15.28,11.36,34.31,13.12,260,31.45,32.13,33.42,52.13,54.53,55.42,39.37,15.34
"Lophosaurus spinipes",64.63,26.21,10.32,21.05,29.13,11.68,9.72,30.85,12.36,263,22.32,24.79,24.71,35.96,37.83,46.39,19.02,16.51
