"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Lophosaurus spinipes",51.45,23.09,8.69,18.19,23.48,9.86,8.7,24.54,9.16,245,22.06,20.39,23.26,30.17,31.56,40.81,22.5,13.85
"Moloch horridus",56.74,34.32,13.46,17.58,15.26,3.55,4.44,12.49,12.39,79.91,19.75,17.2,12.86,23.5,20.22,14.14,23.51,6.8
"Moloch horridus",46.09,31.94,12.72,15.67,15.23,4,4.91,12.03,13.45,76.65,20.31,17.87,9.66,20.65,19.8,12.64,22.55,4.87
"Moloch horridus",44.03,34.44,12.56,14.78,14.29,3.78,4.33,11.54,12.55,63.86,18.81,15.6,9.95,21.11,19.1,12.32,18.61,5.51
"Moloch horridus",48.84,40.26,11.71,15.96,14.36,3.78,4.42,11.05,12,62.66,20.34,18.02,10.8,23.56,19.73,13.7,22.3,5.6
"Moloch horridus",62.33,34.21,13.67,16.81,15.24,4,5.03,12.2,12.57,71.93,21.31,19.88,12.54,26.16,22.35,15.01,25.3,5.9
"Physignathus cocincinus",99.26,32.89,13.31,38.39,35.17,15.6,12.39,41.09,20.94,536,37.46,34.65,38.53,55.88,52.61,65.22,45.81,24.67
"Physignathus cocincinus",91.16,34.39,11.29,30.17,37.6,13.79,10.4,30.46,19.5,462,32.56,35.04,35.46,52.22,49.77,66.72,41.54,21.42
"Physignathus cocincinus",103.79,33.29,13.73,36.64,48.59,16.53,9.32,43.9,25.55,545,36.01,36.49,35.88,57.51,56.12,69.58,37.63,24.72
"Pogona barbata",74.68,36.84,13.55,17.38,35.76,6.29,6.99,22.97,16.26,187,21.24,19.67,21.4,24.86,27.04,32.31,29.18,19.64
"Pogona barbata",104,61.27,18.77,28.34,56.77,7.72,8.96,35.04,22.76,273,29.69,30.34,33.25,37.49,39.09,43.21,35.22,29.8
"Pogona barbata",86.12,67.11,17.2,21.59,42.17,7.2,8.04,27.14,17.06,224,23.82,24.5,27.66,32.75,31.09,37.86,33.36,22.43
"Pogona barbata",69.33,51.73,17.7,19.03,31.86,6.53,7.2,22.95,17.41,210,22.67,22.59,23.24,27.09,29.62,35.67,29.1,20.11
"Pogona henrylawsoni",68.62,39.21,13.96,17.05,31.45,5.19,7.02,22.9,14.54,140,20.26,19.91,19.95,26.18,24.55,28.61,24.76,15.46
"Pogona microlepidota",70.31,59.07,13.61,17.59,31.92,7.28,7.38,23.57,17.49,274,22.24,22.45,20.63,30.57,32.03,32.93,26.68,16.38
"Pogona microlepidota",74.24,49.69,13.94,16.87,34.05,7.71,7.67,23.48,17.48,288,24.05,23.7,22.27,35.64,32.32,38.56,24.07,17.64
"Pogona minor minima",56.53,32.24,10.42,14.18,20.78,4.9,5.22,14.9,11.12,220,17.09,17.96,19.11,23.79,24.41,30.97,15.49,16.43
"Pogona minor minima",52.3,32.91,9.58,11.58,20.56,4.61,5.81,13.13,12.2,196,16.56,16.57,17.28,21.81,23.27,28.53,19.14,12.42
"Pogona minor minima",55.81,32.02,10.46,11.56,21.18,4.86,4.82,13.34,8.47,197,15.02,15.76,15.85,20.54,22.05,28.01,17.93,12.64
"Pogona minor minima",57.41,32.3,13.05,12.21,23.12,5.44,5.72,14.37,10.43,215,17.47,17.2,18.21,22.05,24.48,30.29,16.96,13.11
"Pogona minor minor",68.09,38.92,9.15,16.61,26.11,6.66,7.35,20.28,11.55,201,16.84,16.77,20.24,21.62,21.2,25.38,19.36,14.98
"Pogona minor minor",65.85,41.8,13.13,16.25,35.67,6.92,6.69,20.88,16.05,215,20.05,19.6,18.51,26.19,25.15,30.44,22.86,19.06
"Pogona minor minor",76.03,45.34,12.68,16.15,27.91,6.63,5.95,17.84,12.94,181,18.84,20,19.79,24.07,24.17,30.15,21.87,16.69
"Pogona minor mitchelli",81.23,44.84,13.55,21.24,46.36,7.37,7.5,26.55,19.61,252,18.7,23.4,24.24,31,27.32,35,32.61,22.93
"Pogona minor mitchelli",80.43,52.7,13.86,19.34,44.78,8.26,7.63,28.39,18.52,233,20.9,24.74,21.94,28.12,28.87,29.95,12.86,22.96
"Pogona minor mitchelli",75.22,41.19,12.51,19.62,38.15,7.31,7.72,27.29,15.56,248,20.95,21.76,22.61,26.83,27.27,30.59,27.55,19.65
"Pogona nullarbor",74.49,40.18,11.87,19.47,31.95,6.08,6.61,20.53,17.73,184,19.12,20.88,19.89,23.29,27.28,30.14,22.99,19.56
"Pogona nullarbor",55.14,30.11,11.22,14.62,24.96,4.59,5.31,16.12,13.72,150,15.87,16.8,17.78,20.47,23.15,24,21.26,14.03
"Pogona nullarbor",59.93,43.14,12.86,15.2,26.02,5.83,5.56,18.2,14.14,150,16.74,15.67,18.24,21.85,23.46,26.96,20.98,14.83
"Pogona nullarbor",67.84,39.62,12.91,17.21,28.57,6.73,6.39,21.37,14.68,180,19.99,19.64,20.06,25.93,27.36,28.7,25.24,16.46
"Pogona vitticeps",103.86,64.9,20.84,24.01,61.37,9.15,8.82,35.19,27.41,255,27.3,29.48,26.24,38.72,35.96,41.62,29.63,28.25
"Pogona vitticeps",105.24,61.06,19.33,22.95,53.57,8.69,8.67,27.21,22.9,207,27.85,26.66,25.9,35.44,33,37.57,34.67,24.58
"Pogona vitticeps",99.43,65.68,16.2,22.18,44.95,8.34,7.87,28.42,20.47,237,27.08,25.38,25.75,33.72,33.54,35.09,28.07,21.83
"Pogona vitticeps",98.78,63.66,16.75,22.36,50.03,7.06,8.57,28.27,21.4,244,25.5,23.52,23.21,32.13,32.2,36.52,21.63,22.18
"Rankinia diemensis",37.09,21.47,10,10.13,15.36,3.65,3.69,10.6,6.23,109,10.87,9.82,10.1,12.06,13.81,20.05,10.51,9.14
"Rankinia diemensis",40.36,23.47,10.67,11.54,18.37,4.63,3.84,13.54,8.53,122,12.45,10.15,11.87,16.09,15.98,21.55,12.39,9.93
"Tropicagama temporalis",46.07,19.17,7.16,15.79,21.81,6.37,6.15,18.91,12.59,298,15.73,13.7,16.53,28.23,26.24,38.7,21.97,12.57
"Tropicagama temporalis",47.78,22.5,7.34,16.07,20.6,6.83,5.77,17.28,11.53,299,15.49,13.13,18.37,26.36,28.43,43.62,24.11,12.06
"Tropicagama temporalis",47.5,15.21,7.26,15.12,21.59,6.57,4.85,16.85,10.53,286,14.92,14.79,16.89,25.39,25.93,39.22,21.09,12.39
"Tropicagama temporalis",39.98,16.77,7.23,12.4,18.3,6.76,5.48,16.41,9.57,276,14.54,13.6,17.59,23.73,25.19,38.59,19.67,10.95
"Tympanocryptis argillosa",24.6,13.24,6.09,6.44,11.8,1.9,3.18,7.86,4.91,81.17,8.29,7.25,8.05,10.59,10.57,13.03,6.97,7.32
"Tympanocryptis argillosa",23.7,11.83,4.62,6.41,11.64,1.99,3.18,8.12,4.99,67.96,8.35,6.98,7.56,10.53,10.75,12.82,8.12,6.27
"Tympanocryptis argillosa",27.28,14.83,5.44,6.12,12.25,2.3,3.12,8.07,4.36,68.07,8.52,6.64,7.73,10.21,10.18,13.15,8.13,6.11
"Tympanocryptis argillosa",26.37,16.08,6.36,7.06,12.26,2.32,3.32,8.28,4.51,77,8.13,7.08,7.88,11.33,11,13.78,8.8,7.11
"Tympanocryptis centralis",22.83,14.99,5.92,6.08,11.58,2.15,3.04,7.98,4.41,71,8.26,7.53,8.18,10.08,10.06,13.16,7.26,7.11
"Tympanocryptis centralis",22.6,13.51,5.32,5.89,11.59,1.59,2.81,7.79,4.85,85,8.51,7.38,8.47,10.29,10.63,13.72,10.12,7.54
"Tympanocryptis centralis",21.6,12.16,4.77,6.17,11.42,1.59,3.02,7.3,3.94,66,7.63,6.41,8.54,8.96,9.47,12.99,9.53,6.32
"Tympanocryptis centralis",24.98,15.44,6.34,7.17,12.17,2.37,3.09,8.52,4.46,74,8.7,8.29,8.17,11.14,11.52,13.23,10.03,6.79
"Tympanocryptis centralis",27.64,13.77,6.08,6.55,13.49,1.85,3.68,8.89,6.35,79,8.11,8.38,9.5,11.67,11.49,14.38,10.18,6.94
"Tympanocryptis centralis",24.35,13.65,5.1,7.09,11.97,2.52,2.88,8.32,5.08,84,8.08,7,8.27,9.11,10.58,13.71,7.37,6.94
"Tympanocryptis centralis",24.13,13.67,6.14,6.97,12.54,1.41,3.15,8.53,6.17,79,8.17,7.38,7.57,9.36,10.9,12.12,11.03,8.18
"Tympanocryptis cephalus",29.93,17.48,7.11,8.17,13.96,2.48,4.06,9.68,6.21,77,12.44,11.09,9.49,15.39,15.37,17.01,9.89,8.25
"Tympanocryptis cephalus",35.27,23.04,7.47,8.11,15.63,2.45,3.85,10.44,4.72,78,11.32,10.3,10.95,14.35,14.25,16.69,10.28,9.58
"Tympanocryptis cephalus",32.59,19.38,7.85,8.47,14.33,2.37,3.64,9.92,5.69,72,10.48,10.28,11.32,12.97,13.8,15.72,12.59,9.1
"Tympanocryptis cephalus",30.36,20.58,6.98,8.32,13.81,2.1,3.82,9.67,4.74,70,10.85,10.1,9.97,13.13,13.64,15.34,13,7.78
"Tympanocryptis condaminensis",30.78,18.25,6.82,7.85,12.71,1.98,3.63,8.85,5.22,89,9.43,8.59,10.51,11.73,13.49,19.29,9.3,7.91
"Tympanocryptis condaminensis",34.57,20.96,7.36,8.98,14.32,2.58,3.41,9.91,5.25,82,10.2,9.78,9.8,11.97,13.59,17.64,9.57,8.73
"Tympanocryptis condaminensis",31.16,16.87,7.97,9.52,14.31,2.71,3.66,10.12,5.55,100,11.59,10,9.31,14.11,14.61,17.33,13.15,8.41
"Tympanocryptis condaminensis",26.31,16.05,7.11,8.72,13.91,2.17,3.7,9.72,6.32,90,9.9,9.17,10.24,12.19,14.05,18.19,10.95,8.61
"Tympanocryptis darlingensis",34.31,21.27,5.7,8.57,13.65,2.34,3.18,9.38,4.17,89,9.52,9.75,9.2,13.39,13.8,16.59,10.21,8.64
"Tympanocryptis darlingensis",29.92,19.12,7.83,8.49,13.75,2.46,3.91,8.47,5.84,102,10.56,9.44,10.01,13.19,13.7,17.28,12.84,8.12
"Tympanocryptis darlingensis",35.93,21.08,7.29,8.08,13.23,2.56,3.47,8.59,5.03,88,9.98,9.12,10.74,11.97,13.44,16.66,11.18,6.96
"Tympanocryptis darlingensis",36.26,21.29,7.11,9.1,14.26,3.17,3.77,9.82,5.17,87,8.95,9.31,9.49,11.61,12.62,15.33,10.93,7.76
"Tympanocryptis darlingensis",30.92,19.65,8.71,8.07,13.91,2.56,3.52,8.53,5.75,96,8.37,9.15,9.58,12.71,13.42,16.81,10.5,8.24
"Tympanocryptis diabolicus",30.57,17.94,7.23,7.71,14.95,2.23,4.11,10.66,5.53,85,11.81,10.11,7.41,14.03,14.61,15.4,10.89,8.8
"Tympanocryptis diabolicus",28.42,18,7.8,7.43,14.81,2,3.38,9.61,5.26,92,10.08,9.7,9.02,12.74,13.84,17.48,12.57,7.41
"Tympanocryptis diabolicus",30.36,16.88,6.6,6.7,13.65,2.05,2.93,9.14,4.05,62,11.55,9.17,8.09,12.4,11.83,14.49,11.83,7.13
"Tympanocryptis diabolicus",27.64,17.19,6.57,7.23,14.25,2.31,2.98,10.16,3.91,68,10.02,9.6,8.08,13.2,12.72,14.72,10.24,7.86
"Tympanocryptis einasleighensis",31.82,15.87,5.35,8.38,13.63,2.52,3.43,9.5,4.06,73,9.74,9.14,9.32,11.05,11.89,13.81,9.24,10.28
"Tympanocryptis einasleighensis",28.42,15.63,5.94,7.09,12.49,2.22,3.51,8.9,4.42,78,8.41,8.38,7.59,9.92,10.49,11.71,7.34,8.81
"Tympanocryptis einasleighensis",26.49,18.18,6,7.33,12.26,2.71,3.06,8.76,3.6,50,7.15,8.02,7.64,9.71,9.56,11.05,7.13,7.72
"Tympanocryptis einasleighensis",28.37,17.44,5.54,7.42,12.12,2.1,2.99,8.91,3.18,55,7.89,7.65,7.03,9.99,10.23,12.77,6.85,7.68
"Tympanocryptis fictilis",32.08,14.68,7.28,8.7,14.23,2.6,3.62,9.99,5.44,79.46,11.13,9.95,10.35,13.28,13.46,16.38,11.54,9.41
"Tympanocryptis fictilis",34.35,18.73,7.91,6.75,13.44,2.38,3.46,9.73,4.37,67.15,9.86,8.91,8.51,12.74,12.6,14.52,9.49,8.25
"Tympanocryptis fictilis",29.19,15.2,6.52,7.7,13.57,2.59,2.91,9.96,4.24,82.78,9.94,9.98,10.45,13.25,14.23,16.45,8.65,9.33
"Tympanocryptis fortescuensis",27.37,17.16,5.22,6.4,13.79,2.1,2.93,7.95,3.27,82,10.68,10.41,9.86,13.46,14.42,17.43,10.76,8.33
"Tympanocryptis fortescuensis",29.19,21.4,7.96,7.84,14.91,2.17,4.2,9.74,5.96,89,10,10.79,9.62,14.36,14.35,16.84,10.47,7.06
"Tympanocryptis fortescuensis",26.3,18.66,7.46,6.69,13.35,2.44,3.58,9.23,4.18,80,10.84,10.51,9.65,13.24,14,17.6,11.52,6.61
"Tympanocryptis fortescuensis",30.26,19.32,6.44,5.86,13.34,2.47,3,8.85,3.26,71,10.7,8.93,8.77,11.55,12.54,14.38,12.37,7.18
"Tympanocryptis fortescuensis",28.24,15.96,6.69,6.63,12.82,2.24,3.37,9.62,4.65,80,11.82,10.87,9.62,14.9,14.61,18.7,9.37,8.06
"Tympanocryptis fortescuensis",35.69,17.15,7.46,8.6,15.08,1.92,4.57,11.37,5.39,98,11.41,11.48,10.22,16.01,16.23,18.45,8.77,10.2
"Tympanocryptis fortescuensis",28.62,17.31,7.88,7.06,14.04,2.43,3.69,9.11,4.59,94,10.54,11.09,9.88,12.91,13.42,16.31,11.28,8.62
"Tympanocryptis gigas",30.51,16.9,6.69,7.83,15.72,2.36,4.03,10.65,4.44,83,11.21,9.31,9.68,14,12.96,16.18,12.92,8.09
"Tympanocryptis gigas",31.53,18.78,7.09,7.33,14.84,2,4.61,10.36,3.7,79,10.23,9.45,9.34,13.62,12.57,15.04,9.84,8.21
"Tympanocryptis gigas",26.95,18.61,6.48,6.73,13.25,2.1,3.39,8.46,4.56,76,10.58,9.43,10.34,11.5,11.79,14.54,11.37,7.69
"Tympanocryptis gigas",30.93,16.59,6,7.28,14.2,2.23,3.68,8.81,4.46,75,10.32,8.6,9.6,11.83,11.77,12.51,8.81,8.71
"Tympanocryptis hobsoni",27.38,16.81,7.21,8.58,12.63,1.99,3.58,8.93,6.33,79,9.77,9.07,9.55,13.12,14.75,17.25,10.15,7.85
"Tympanocryptis hobsoni",28.64,17.27,7.2,7.99,12.64,2.33,3.28,9.15,6.39,85,9.04,8.89,9.71,12.41,13.84,17.2,11.68,7.14
"Tympanocryptis hobsoni",29.09,17.35,7.79,8.39,12.3,2.22,3.54,8.53,4.22,66,10.25,8.93,9.98,12.48,13.2,16.83,9.73,8.64
"Tympanocryptis hobsoni",26.9,16.41,7.26,8.55,13.15,2.48,3.33,8.73,5.09,75,9.92,9.18,10.48,14.09,13.88,18.9,10.32,8.87
"Tympanocryptis hobsoni",29.75,20.59,7.05,8.59,13.13,2.38,3.73,9.1,4.95,68,9.91,9.44,10.17,13.07,14.51,18.13,8.39,9.25
"Tympanocryptis houstoni",27.73,14.57,6.89,8.31,13.22,2,3.5,8.9,5.44,95,8.89,7.81,8.51,10.1,12.52,14.88,8.97,8.09
"Tympanocryptis houstoni",30.04,15.75,5.71,6.65,11.37,2.85,3.11,8.01,3.91,72,7.33,6.2,8.09,9.51,9.93,13.5,7.65,6.26
"Tympanocryptis houstoni",35.42,16.89,5.4,7.4,12.13,1.95,3.22,9.03,4.34,82,9.34,8.3,8.88,11.15,11.28,14.31,7.9,8.4
"Tympanocryptis houstoni",32.1,18.54,6.67,8.24,14.26,2.54,4,9.14,6.22,88,9.52,9.17,9.87,12.38,13.94,16.71,10.82,8.47
"Tympanocryptis houstoni",31.39,18.25,6.71,7.58,13.19,2.3,3.88,9.16,6.5,98,8.58,8.64,8.03,12.64,13.87,16.21,8.46,8.05
"Tympanocryptis houstoni",26.5,17.81,6.22,6.05,11.36,2.2,3.3,7.44,5.39,79,8.81,7.96,8.14,10.27,11.72,15.01,10.65,6.95
"Tympanocryptis houstoni",26.12,14.72,6.85,7.17,12.97,3.03,3.67,8.63,7.47,87,9.65,8.19,8.49,11.88,12.66,16.14,11.7,6.3
"Tympanocryptis intima",30.34,16.42,6.16,7.37,13.89,1.77,4.14,8.94,5,82,9.66,10.14,9.38,12.37,12.32,15.37,9.34,7.92
"Tympanocryptis intima",26.85,16.55,6.65,6.59,12.97,2.08,3.37,9.04,5.09,79,9.21,8.38,9.99,11.66,12.37,17.46,10.91,7.62
"Tympanocryptis intima",26.77,16.42,6.41,7.32,12.84,1.98,3.31,8.1,4.6,72,9.33,8.46,10.73,12.17,12.67,15.09,8.68,8.66
"Tympanocryptis intima",28.8,16.87,6.99,7.01,14.1,2.38,3.84,10.33,5.38,83,10.6,8.65,9.74,13.02,12.44,15.24,9.27,8.57
"Tympanocryptis intima",29.66,16.05,6.93,8.08,14.85,3.19,3.34,10.26,5.4,81,11,10.37,10.84,14.63,14.52,16.91,11.87,8.47
"Tympanocryptis intima",25.53,16.98,5.42,8.14,14.75,2.51,3.57,10.15,5.2,76,10.83,9.86,11.98,14.25,14.2,17.33,9.97,8.83
"Tympanocryptis intima",29.84,15.84,7.08,7.14,13.04,1.89,3.18,8.88,4.62,78,9.73,8.68,10.52,12.15,12.81,14.7,9.34,7.62
"Tympanocryptis intima",28.08,14.95,4.79,7.33,12.94,2.67,2.99,9.16,5.02,70,9.18,8.45,9.88,12.61,12.73,14.67,8.96,8.07
"Tympanocryptis lineata",23.24,12.76,5.24,6.43,11.52,1.92,3.21,7.96,4.52,80,7.35,6.98,8.21,10.44,11.07,14.86,7.53,6.91
"Tympanocryptis lineata",23.53,14.36,5.05,6.56,11.21,2.12,2.81,7.83,4.46,81,8.19,7.29,8.23,10.39,10.17,14.81,8.48,5.74
"Tympanocryptis lineata",26.48,14.57,6.02,7.15,12.39,1.93,3.16,9.4,4.49,97,9.09,8.11,7.65,11.76,12.37,15.87,5.91,7.9
"Tympanocryptis lineata",26.34,14.19,5.08,5.74,10.44,2.16,2.59,7.34,3.56,63,7.93,6.36,7.47,8.26,8.47,11.26,8.74,5.53
"Tympanocryptis macra",34.18,17.44,7.14,10.12,14.05,3.04,4.31,9.94,4.98,99,11.36,10.4,9.51,12.92,14.58,17.25,11.93,9.2
"Tympanocryptis macra",33.11,16.41,7.86,9.3,14.08,2.81,4.86,10.27,5.5,115,10.89,10.07,8.51,13.41,14.2,17.36,11.57,9.2
"Tympanocryptis macra",32.94,16.65,7.08,9.08,13.54,3.05,3.65,10,4.93,94,11.82,10.93,12.03,14.59,16.52,17.9,12.91,8.08
"Tympanocryptis macra",31.6,18.49,6.92,7.37,13.16,2.53,3.51,9.83,5.04,83,9.97,9.34,10.41,13.41,14.14,17.32,12.89,8.05
"Tympanocryptis macra",28.36,14.18,6.39,8.23,13.15,2.79,3.91,9.69,6.51,101,11.73,10.67,9.97,14.89,14.74,18.23,11.14,7.58
"Tympanocryptis macra",35.45,20.12,6.1,8.09,12.92,2.6,3.28,8.87,5.82,105,10.74,10.04,10.57,13.07,13.71,16.58,12.36,7.79
"Tympanocryptis osbornei",25.48,15.62,6.78,7.31,13.57,2.4,3.71,9.81,5.43,75,7.96,8.92,9.05,12.16,11.92,15.54,12.24,7.09
"Tympanocryptis pentalineata",30.54,17.07,6.03,7.93,13.46,2.18,3.26,8.8,4.58,97,9.8,9.31,10.07,12.83,13.39,16.2,10.95,9.16
"Tympanocryptis pentalineata",26.23,16.89,6.62,6.95,12.66,2.69,3.31,8.35,5.05,84,8.29,8.43,8.8,11.1,12.85,14.9,10.13,6.41
"Tympanocryptis pentalineata",26.29,13.63,6.38,6.39,11.43,2.29,3.27,7.97,3.91,82,8.63,7.32,8.89,11.24,11.69,13.97,8.59,7.42
"Tympanocryptis pentalineata",23.57,15.71,5.42,6.35,12,2.11,2.86,7.58,3.61,79,7.57,7.18,8.01,10.43,11.13,14.71,10.5,6.58
"Tympanocryptis petersi",25.62,14.49,5.84,6.97,11.17,2.09,3.09,7.86,3.88,88,9.07,6.76,7.16,10.72,11.09,13.1,9.27,6.59
"Tympanocryptis petersi",33.43,17.15,5.43,7.18,11.55,2.25,2.83,8.29,3.87,76,8.17,7.89,8.17,11.14,11.17,13.55,7.78,7.71
"Tympanocryptis petersi",27.5,15.56,5.1,6.72,12.25,2.14,3.14,7.92,5.44,78,8.42,7.98,8.86,11.8,11.59,14.75,8.73,7.06
"Tympanocryptis pinguicolla",31.84,13.87,6.39,7.65,11.42,2.22,3.14,8.95,3.39,62,8.11,7.19,8.78,9.91,9.84,13.03,10.81,7.05
"Tympanocryptis pinguicolla",29.74,13.64,5.92,7.38,12.25,2.57,3.15,9.18,3.31,62,6.99,7.58,8.58,9.9,10.47,11.77,11.67,7.34
"Tympanocryptis pinguicolla",22.97,11.3,5.43,6.43,10.52,2.08,3.03,7.59,3.49,52,6.54,5.95,7.83,8.92,8.88,12.88,10.21,6.5
"Tympanocryptis pseudopsephos",24.19,18.51,6.65,6.15,13.31,1.78,2.75,8.82,2.84,58,9.87,8.23,9.87,11.14,10.38,14.32,9.29,7.46
"Tympanocryptis pseudopsephos",28.35,20.78,5.57,6.86,14.98,2.36,3.48,9.68,3.11,71,10.86,8.61,9.8,12.49,11.11,12.89,13.05,7.5
"Tympanocryptis pseudopsephos",28.35,22.04,6.44,5.37,13.25,1.86,3.15,8.24,3.16,56,10.11,8.82,9.09,11.28,11.69,13.97,8.42,6.79
"Tympanocryptis pseudopsephos",31.12,20.17,7.39,6.43,14.26,2.37,3.27,8.71,3.75,77,9.33,9.86,9.36,12.22,12.73,15.9,12.22,6.21
"Tympanocryptis pseudopsephos",31.19,21.26,7.32,6.31,14.33,2.06,3.29,9.1,2.94,64,10.17,9.54,8.11,12.4,12.38,13.6,9.7,7.17
"Tympanocryptis pseudopsephos",26.98,17.59,6.69,5.65,13.77,2.4,3.7,8.86,3.27,63,9.28,9.28,8.54,11.11,11.11,14.08,10.99,6.85
"Tympanocryptis rustica",30.84,17.38,6,7.54,12.66,2.32,3.33,8.8,3.19,81,9.27,7.77,7.34,11.18,10.65,13.12,10.85,6.96
"Tympanocryptis rustica",26.87,12.32,6.04,6.11,12.4,2.42,3.27,8.19,3.65,90,9.3,7.8,9.22,10.85,11.5,14.93,9.39,7.54
"Tympanocryptis rustica",26.95,15.46,5.3,8.07,13.4,2.01,3.49,8.94,7.01,85,8.05,7.36,7.92,10.56,11.29,12.63,7.85,7.28
"Tympanocryptis rustica",35.35,18.78,6.76,6.36,13.08,2.21,3.27,9.01,5.39,83,8.96,8.21,8.56,10.77,11.68,13.66,11.48,7.83
"Tympanocryptis rustica",29.92,16.95,6.61,7.1,13.48,2.47,3.57,8.58,5.79,82,8.04,8.05,8.62,8.55,11.87,14.14,7.76,7.88
"Tympanocryptis tetraporophora",31.51,17.59,7.45,8.35,13.95,2.41,4.4,9.22,4.73,96,9.98,9.18,10.15,12.93,13.69,17.12,9.3,8.33
"Tympanocryptis tetraporophora",31.61,18.76,6.93,7.82,14.32,2.12,3.78,9.24,4.76,99,10.79,9.11,10.43,14.73,15.89,18.22,11.83,9.76
"Tympanocryptis tetraporophora",29.73,16.5,6.18,7.05,12.12,2.27,3.64,8.39,4.41,117,9.28,8.36,9.2,12.09,12.85,15.12,9.9,7.36
"Tympanocryptis tetraporophora",30.8,16.94,6.47,7.56,12.89,1.42,3.2,8.71,5.09,76,9.51,9.13,9.85,12.71,13.14,16.46,10.3,7.62
"Tympanocryptis tetraporophora",28.88,16.89,6.56,7.7,12.62,1.96,3.65,8.07,6.61,90,9.77,9.44,9.81,12.3,13.89,16.96,10.88,6.86
"Tympanocryptis tetraporophora",31.39,15.03,6.54,7.63,12.4,1.96,3.73,10.03,4.92,85,10,10.27,9.25,13.26,13.29,15.69,10.59,7.02
"Tympanocryptis tetraporophora",32.15,17.11,6.42,8.37,14.73,2.23,5.17,9.96,7.08,95,10.57,10.42,9.53,13.59,14.24,15.64,10.69,6.51
"Tympanocryptis tolleyi",28.05,15.76,5.65,5.72,10.91,1.89,2.98,7.23,3.05,70,7.4,7.05,8.75,9.69,9.97,12.05,8.63,6.4
"Tympanocryptis tolleyi",29.71,16.75,5.54,6.78,12.19,1.53,3.07,8.32,3.64,70,8.27,7.78,9.4,10.53,10.03,13.1,8.27,8.41
"Tympanocryptis tolleyi",24.43,12.34,5.21,6.05,11.35,1.96,3.04,7.35,3.33,74,7.5,6.62,7.65,10.04,10.22,13.99,8.02,6.89
"Tympanocryptis tolleyi",26.07,13.25,6.14,4.87,12.02,2.25,2.88,8.02,4.89,77,7.83,7.18,7.97,10.99,11.06,12.86,10.48,6.22
"Tympanocryptis wilsoni",28.15,17.97,7.72,8.34,13.36,2.36,3.78,9.1,4.96,98,9.57,9.13,10.07,12.14,14.03,16.95,12.21,7.64
"Tympanocryptis wilsoni",30.08,20.22,7.21,7.03,13.13,2.29,3.37,9.29,3.77,80,9.4,9.34,10.4,12.1,12.7,15.26,9.59,7.36
"Tympanocryptis wilsoni",31.84,20.45,7,8.19,13.2,2.19,3.72,9.3,3.82,70,9.56,8.92,9.79,11.84,13.22,16.64,10.51,8.6
"Tympanocryptis wilsoni",27.59,16.94,6.5,7.11,13.09,2.28,3.67,8.58,3.97,85,9.28,8.88,9.99,12.07,13.62,15.88,9.98,8.56
