"Genus_species","Snout_Vent","Interlimb","Snout_Axilla","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Head_Length","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Diporiphora_pallida",45.74,23.72,18.94,10.04,4.92,6.46,10.56,2.14,3.54,8.34,12.09,4.34,92,6.9,7.22,7.84,9.59,10.14,14.53,6.85,6.41
"Diporiphora_paraconvergens",54.8925,28.455,23.2975,9.2375,5.1725,6.635,9.3,2.28,2.84,7.8525,12.635,5.735,161,8.145,7.6025,8.68,10.965,12.1925,17.445,10.6625,7.515
"Diporiphora_perplexa",66.715,31.5325,30.17,10.9275,5.8125,8.36,13.225,3.6125,3.9575,9.7375,17.9325,6.98,159.25,10.4225,10.325,9.4475,15.2175,16.0425,22.655,12.2375,10.3625
"Diporiphora_phaeospinosa",69.035,32.115,32.01,16.65,7.74,9.775,15.425,3.915,4.625,10.94,18.525,7.2,177,9.995,10.165,11.8,17.385,17.6,25.455,13.485,9.985
"Diporiphora_pindan",60.295,29.6225,26.745,10.2325,5.35,5.5175,9.67,2.34,3.3125,7.2975,13.1575,5.4475,145.75,9.1425,8.56,9.4,11.2475,13.29,18.3625,13.5875,7.505
"Diporiphora_reginae",57.86,29.68,25.295,12.5425,5.6375,7.45,10.7,2.57,2.985,8.22,13.3225,6.0575,143.5,7.955,7.675,9.26,11.39,13.9725,19.595,11.9725,7.7675
"Diporiphora_sobria",62.0875,28.2975,27.9525,12.9625,5.9975,8.08,12.8975,3.2575,3.845,9.34,15.9025,7.575,152.25,10.1575,9.8525,10.0875,14.58,16.25,22.6475,12.05,8.8
"Diporiphora_superba",86.845,47,35.66,11.0275,7.0025,8.6775,11.0525,3.6425,3.9075,10.325,17.735,5.6075,324.5,13.5025,12.0875,14.58,19.8225,20.1675,31.2775,17.925,10.185
"Diporiphora_valens",64.4225,31.7225,26.93,12.8725,6.56,7.8225,11.6425,3.045,3.375,8.8775,14.3425,8.53,171.25,9.3275,9.6975,10.81,13.0475,14.995,20.8975,12.5875,7.9225
"Diporiphora_vescus",56.4475,27.4925,23.8,7.9075,5.13,6.2475,9.485,2.38,3.0075,8.04,12.4475,5.3475,151.75,8.7675,8.825,10.0175,11.5725,12.61,19.145,11.3525,7.06
"Diporiphora_winneckei",53.368,26.736,21.426,7.844,4.514,6.394,8.948,2.272,2.854,7.208,11.8,4.522,125.8,7.41,7.384,8.762,10.424,10.986,16.628,9.626,6.674
"Gowidon_longirostris",105.6175,50.7475,48.49,18.9275,8.8825,13.8825,18.9475,6.5775,5.3225,14.72,28.7075,10.805,307.25,15.195,14.755,16.7625,26.595,28.69,40.8625,19.7825,16.8075
"Hypsilurus_godeffroyi",233,125.025,100.105,31.295,13.325,39.295,39.4,16.815,9.45,45.02,50.18,17.04,643,41.065,39.865,42.575,58.095,59.86,78.63,49.925,23.915
"Hypsilurus_longii",104.17,54.42,42.02,21.11,8.15,14.81,15.58,8.15,4.63,16.51,22.89,7.07,366,18.96,18.05,21.68,28.51,27.7,45.52,19.13,10.11
"Hypsilurus_magnus",188.143333333333,99.78,81.56,43.31,15.1066666666667,33.0066666666667,40.2266666666667,13.0633333333333,10.9766666666667,34.7766666666667,44.16,21.4733333333333,556.666666666667,32.7366666666667,30.81,34.3566666666667,44.9233333333333,45.4666666666667,65.3366666666667,37.4,20.12
"Hypsilurus_modestus",100.646666666667,53.77,40.1666666666667,15.28,6.68,12.2266666666667,14.6366666666667,7.59666666666667,4.49666666666667,15.5466666666667,20.15,7.16,255,21.5133333333333,19.2133333333333,21.0966666666667,27.4066666666667,26.5333333333333,37.7166666666667,20.0166666666667,8.05666666666667
"Hypsilurus_nigrigularis",184.1475,101.115,79.9,31.4975,14.025,30.3475,33.5425,13.7,9.185,31.0525,41.78,18.3875,534.5,30.7375,30.7125,32.79,46.4325,45.5225,65.955,38.12,18.895
"Hypsilurus_papuensis",170,84.35,70.75,26.34,7.61,29.75,35.86,12.79,9.57,34.39,37.6,12.68,552,27.42,29.71,31.84,38.31,41.33,55.76,33.15,15.24
"Hypsilurus_schultzewestrumi",119.143333333333,59.7866666666667,52.1166666666667,23.3,8.46333333333333,18.9533333333333,20.2266666666667,9.48,7.74666666666667,19.4233333333333,28.3533333333333,10.0566666666667,388.333333333333,20.62,20.86,23.29,30.6933333333333,29.5933333333333,44.5566666666667,23.7633333333333,11.1266666666667
"Intellagama_lesueurii",211.5,103.95,95.625,53.055,18.505,33.58,55.58,13.625,10.59,38.9,52.365,33.455,476,34.595,35.625,38.725,58.11,56.69,74.305,43.26,28.15
"Lophognathus_gilberti",81.9225,39.7225,38.0275,16.8425,7.1875,11.3725,16.9025,5.335,5.0675,13.25,21.7875,9.445,245,13.2975,12.72,14.72,21.1875,23.7675,32.8625,16.24,11.385
"Lophognathus_horneri",107.745,53.2175,50.4275,22.815,9.61,16.0075,21.4575,6.3125,5.4875,16.2025,27.255,14.485,298.75,16.1575,16.3575,18.5175,28.6325,30.81,42.1425,23.1725,15.455
"Lophosaurus_boydii",161.333333333333,78.5,73.8,29.06,13.33,28.36,30.55,15.44,11.09,33.96,43.7866666666667,13.2,317.333333333333,29.1866666666667,29.8966666666667,31.0766666666667,49.5533333333333,49.8433333333333,59.0133333333333,30.0133333333333,17.2566666666667
"Lophosaurus_dilophus",178.392,87.05,90.892,26.038,10.846,33.19,33.624,15.596,12.396,39.034,47.592,14.516,301.2,33.864,33.544,32.768,56.408,60.144,60.484,43.3,19.6
"Lophosaurus_spinipes",116.89,58.04,55.92,24.65,9.505,19.62,26.305,10.77,9.21,27.695,35.16,10.76,254,22.19,22.59,23.985,33.065,34.695,43.6,20.76,15.18
"Moloch_horridus",94.552,51.606,36.638,35.034,12.824,16.16,14.876,3.822,4.626,11.862,14.184,12.592,71.002,20.104,17.714,11.162,22.996,20.24,13.562,22.454,5.736
"Physignathus_cocincinus",194.333333333333,98.07,91.2733333333333,33.5233333333333,12.7766666666667,35.0666666666667,40.4533333333333,15.3066666666667,10.7033333333333,38.4833333333333,49.6133333333333,21.9966666666667,514.333333333333,35.3433333333333,35.3933333333333,36.6233333333333,55.2033333333333,52.8333333333333,67.1733333333333,41.66,23.6033333333333
"Pogona_barbata",161.28,83.5325,69.4425,54.2375,16.805,21.585,41.64,6.935,7.7975,27.025,37.7275,18.3725,223.5,24.355,24.275,26.3875,30.5475,31.71,37.2625,31.715,22.995
"Pogona_henrylawsoni",126.54,68.62,52.43,39.21,13.96,17.05,31.45,5.19,7.02,22.9,27.67,14.54,140,20.26,19.91,19.95,26.18,24.55,28.61,24.76,15.46
"Pogona_microlepidota",136.79,72.275,57.405,54.38,13.775,17.23,32.985,7.495,7.525,23.525,32.03,17.485,281,23.145,23.075,21.45,33.105,32.175,35.745,25.375,17.01
"Pogona_minor_minima",101.4625,55.5125,41.375,32.3675,10.8775,12.3825,21.41,4.9525,5.3925,13.935,23.995,10.555,207,16.535,16.8725,17.6125,22.0475,23.5525,29.45,17.38,13.65
"Pogona_minor_minor",126.893333333333,69.99,51.6733333333333,42.02,11.6533333333333,16.3366666666667,29.8966666666667,6.73666666666667,6.66333333333333,19.6666666666667,30.31,13.5133333333333,199,18.5766666666667,18.79,19.5133333333333,23.96,23.5066666666667,28.6566666666667,21.3633333333333,16.91
"Pogona_minor_mitchelli",151.673333333333,78.96,61.45,46.2433333333333,13.3066666666667,20.0666666666667,43.0966666666667,7.64666666666667,7.61666666666667,27.41,37.11,17.8966666666667,244.333333333333,20.1833333333333,23.3,22.93,28.65,27.82,31.8466666666667,24.34,21.8466666666667
"Pogona_nullarbor",121.5425,64.35,50.6125,38.2625,12.215,16.625,27.875,5.8075,5.9675,19.055,27.995,15.0675,166,17.93,18.2475,18.9925,22.885,25.3125,27.45,22.6175,16.22
"Pogona_vitticeps",180.1475,101.8275,69.5025,63.825,18.28,22.875,52.48,8.31,8.4825,29.7725,41.0025,23.045,235.75,26.9325,26.26,25.275,35.0025,33.675,37.7,28.5,24.21
"Rankinia_diemensis",71.975,38.725,28.89,22.47,10.335,10.835,16.865,4.14,3.765,12.07,17.44,7.38,115.5,11.66,9.985,10.985,14.075,14.895,20.8,11.45,9.535
"Tropicagama_temporalis",96.3825,45.3325,45.8975,18.4125,7.2475,14.845,20.575,6.6325,5.5625,17.3625,24.1875,11.055,289.75,15.17,13.805,17.345,25.9275,26.4475,40.0325,21.71,11.9925
"Tympanocryptis_argillosa",48.6225,25.4875,20.035,13.995,5.6275,6.5075,11.9875,2.1275,3.2,8.0825,12.03,4.6925,73.55,8.3225,6.9875,7.805,10.665,10.625,13.195,8.005,6.7025
"Tympanocryptis_centralis",47.7185714285714,24.0185714285714,21.4985714285714,13.8842857142857,5.66714285714286,6.56,12.1085714285714,1.92571428571429,3.09571428571429,8.19,12.1385714285714,5.03714285714286,76.8571428571429,8.20857142857143,7.48142857142857,8.38571428571429,10.0871428571429,10.6642857142857,13.33,9.36,7.11714285714286
"Tympanocryptis_cephalus",61.1375,32.0375,26.31,20.12,7.3525,8.2675,14.4325,2.35,3.8425,9.9275,14.87,5.34,74.25,11.2725,10.4425,10.4325,13.96,14.265,16.19,11.44,8.6775
"Tympanocryptis_condaminensis",58.2775,30.705,25.1175,18.0325,7.315,8.7675,13.8125,2.36,3.6,9.65,14.375,5.585,90.25,10.28,9.385,9.965,12.5,13.935,18.1125,10.7425,8.415
"Tympanocryptis_darlingensis",61.122,33.468,25.264,20.482,7.328,8.462,13.76,2.618,3.57,8.958,14.132,5.192,92.4,9.476,9.354,9.804,12.574,13.396,16.534,11.132,7.944
"Tympanocryptis_diabolicus",55.8475,29.2475,24.68,17.5025,7.05,7.2675,14.415,2.1475,3.35,9.8925,13.2975,4.6875,76.75,10.865,9.645,8.15,13.0925,13.25,15.5225,11.3825,7.8
"Tympanocryptis_einasleighensis",53.4625,28.775,21.8975,16.78,5.7075,7.555,12.625,2.3875,3.2475,9.0175,14.2575,3.815,64,8.2975,8.2975,7.895,10.1675,10.5425,12.335,7.64,8.6225
"Tympanocryptis_fictilis",58.5,31.8733333333333,24.7433333333333,16.2033333333333,7.23666666666667,7.71666666666667,13.7466666666667,2.52333333333333,3.33,9.89333333333333,14.85,4.68333333333333,76.4633333333333,10.31,9.61333333333333,9.77,13.09,13.43,15.7833333333333,9.89333333333333,8.99666666666667
"Tympanocryptis_fortescuensis",56.7771428571429,29.3814285714286,24.53,18.1371428571429,7.01571428571429,7.01142857142857,13.9042857142857,2.25285714285714,3.62,9.41,13.8814285714286,4.47142857142857,84.8571428571429,10.8557142857143,10.5828571428571,9.66,13.7757142857143,14.2242857142857,17.1014285714286,10.6485714285714,8.00857142857143
"Tympanocryptis_gigas",56.13,29.98,25.01,17.72,6.565,7.2925,14.5025,2.1725,3.9275,9.57,14.275,4.29,78.25,10.585,9.1975,9.74,12.7375,12.2725,14.5675,10.735,8.175
"Tympanocryptis_hobsoni",54.856,28.352,24.176,17.686,7.302,8.42,12.77,2.28,3.492,8.888,14.122,5.396,74.6,9.778,9.102,9.978,13.034,14.036,17.662,10.054,8.35
"Tympanocryptis_houstoni",56.0385714285714,29.9,22.8885714285714,16.6471428571429,6.35,7.34285714285714,12.6428571428571,2.41,3.52571428571429,8.61571428571429,13.4385714285714,5.61,85.8571428571429,8.87428571428571,8.03857142857143,8.57285714285714,11.1328571428571,12.2742857142857,15.2514285714286,9.45,7.50285714285714
"Tympanocryptis_intima",54.01,28.23375,23.78875,16.26,6.30375,7.3725,13.6725,2.30875,3.4675,9.3575,13.99625,5.03875,77.625,9.9425,9.12375,10.3825,12.8575,13.0075,15.84625,9.7925,8.22
"Tympanocryptis_lineata",45.945,24.8975,19.16,13.97,5.3475,6.47,11.39,2.0325,2.9425,8.1325,11.495,4.2575,80.25,8.14,7.185,7.89,10.2125,10.52,14.2,7.665,6.52
"Tympanocryptis_macra",63.6416666666667,32.6066666666667,27.1733333333333,17.215,6.915,8.69833333333333,13.4833333333333,2.80333333333333,3.92,9.76666666666667,15.04,5.46333333333333,99.5,11.085,10.2416666666667,10.1666666666667,13.715,14.6483333333333,17.44,12.1333333333333,8.31666666666667
"Tympanocryptis_osbornei",56.49,25.48,25.44,15.62,6.78,7.31,13.57,2.4,3.71,9.81,13.2,5.43,75,7.96,8.92,9.05,12.16,11.92,15.54,12.24,7.09
"Tympanocryptis_pentalineata",52.82,26.6575,22.9275,15.825,6.1125,6.905,12.3875,2.3175,3.175,8.175,12.885,4.2875,85.5,8.5725,8.06,8.9425,11.4,12.265,14.945,10.0425,7.3925
"Tympanocryptis_petersi",50.8633333333333,28.85,20.8933333333333,15.7333333333333,5.45666666666667,6.95666666666667,11.6566666666667,2.16,3.02,8.02333333333333,12.3,4.39666666666667,80.6666666666667,8.55333333333333,7.54333333333333,8.06333333333333,11.22,11.2833333333333,13.8,8.59333333333333,7.12
"Tympanocryptis_pinguicolla",54.0366666666667,28.1833333333333,23.2566666666667,12.9366666666667,5.91333333333333,7.15333333333333,11.3966666666667,2.29,3.10666666666667,8.57333333333333,12.36,3.39666666666667,58.6666666666667,7.21333333333333,6.90666666666667,8.39666666666667,9.57666666666667,9.73,12.56,10.8966666666667,6.96333333333333
"Tympanocryptis_pseudopsephos",54.265,28.3633333333333,23.02,20.0583333333333,6.67666666666667,6.12833333333333,13.9833333333333,2.13833333333333,3.27333333333333,8.90166666666667,12.4083333333333,3.17833333333333,64.8333333333333,9.93666666666667,9.05666666666667,9.12833333333333,11.7733333333333,11.5666666666667,14.1266666666667,10.6116666666667,6.99666666666667
"Tympanocryptis_rustica",55.232,29.986,22.636,16.178,6.142,7.036,13.004,2.286,3.386,8.704,13.17,5.006,84.2,8.724,7.838,8.332,10.382,11.398,13.696,9.466,7.498
"Tympanocryptis_tetraporophora",57.2671428571429,30.8671428571429,24.1271428571429,16.9742857142857,6.65,7.78285714285714,13.29,2.05285714285714,3.93857142857143,9.08857142857143,13.6285714285714,5.37142857142857,94,9.98571428571429,9.41571428571429,9.74571428571429,13.0871428571429,13.8557142857143,16.4585714285714,10.4985714285714,7.63714285714286
"Tympanocryptis_tolleyi",49.615,27.065,20.73,14.525,5.635,5.855,11.6175,1.9075,2.9925,7.73,11.88,3.7275,72.75,7.75,7.1575,8.4425,10.3125,10.32,13,8.85,6.98
"Tympanocryptis_wilsoni",57.08,29.415,24.5275,18.895,7.1075,7.6675,13.195,2.28,3.635,9.0675,13.955,4.13,83.25,9.4525,9.0675,10.0625,12.0375,13.3925,16.1825,10.5725,8.04
